taxon_unit_rtu,taxon_unit_species,taxon_unit_genus,taxon_unit_family,taxo_level,species_key,binomial,genus,family,order,class,valid_name,name
species:cdnom:8506,species:cdnom:8506,genus:Nebria,family:Carabidae,species,cdnom:8506,Nebria brevicollis,Nebria,Carabidae,Coleoptera,Insecta,"Nebria brevicollis (Fabricius, 1792)",Nebria brevicollis
family:Carabidae,NA,NA,family:Carabidae,family,NA,NA,NA,Carabidae,Coleoptera,Insecta,"Carabidae Latreille, 1802",Carabidae
genus:Leistus,NA,genus:Leistus,family:Carabidae,genus,NA,NA,Leistus,Carabidae,Coleoptera,Insecta,"Leistus Fröhlich, 1799",Leistus
species:cdnom:8343,species:cdnom:8343,genus:Calosoma,family:Carabidae,species,cdnom:8343,Calosoma inquisitor,Calosoma,Carabidae,Coleoptera,Insecta,"Calosoma inquisitor (Linnaeus, 1758)",Calosoma inquisitor
species:cdnom:9192,species:cdnom:9192,genus:Amara,family:Carabidae,species,cdnom:9192,Amara aenea,Amara,Carabidae,Coleoptera,Insecta,"Amara aenea (De Geer, 1774)",Amara aenea
species:cdnom:9278,species:cdnom:9278,genus:Brachinus,family:Carabidae,species,cdnom:9278,Brachinus explodens,Brachinus,Carabidae,Coleoptera,Insecta,"Brachinus explodens Duftschmid, 1812",Brachinus explodens
species:cdnom:8358,species:cdnom:8358,genus:Carabus,family:Carabidae,species,cdnom:8358,Carabus auratus,Carabus,Carabidae,Coleoptera,Insecta,"Carabus auratus Linnaeus, 1761",Carabus auratus
species:cdnom:9298,species:cdnom:9298,genus:Harpalus,family:Carabidae,species,cdnom:9298,Harpalus anxius,Harpalus,Carabidae,Coleoptera,Insecta,"Harpalus anxius (Duftschmid, 1812)",Harpalus anxius
species:cdnom:222486,species:cdnom:222486,genus:Ophonus,family:Carabidae,species,cdnom:222486,Ophonus laticollis,Ophonus,Carabidae,Coleoptera,Insecta,"Ophonus laticollis Mannerheim, 1825",Ophonus laticollis
species:cdnom:222541,species:cdnom:222541,genus:Poecilus,family:Carabidae,species,cdnom:222541,Poecilus versicolor,Poecilus,Carabidae,Coleoptera,Insecta,"Poecilus versicolor (Sturm, 1824)",Poecilus versicolor
species:cdnom:222466,species:cdnom:222466,genus:Pseudoophonus,family:Carabidae,species,cdnom:222466,Pseudoophonus rufipes,Pseudoophonus,Carabidae,Coleoptera,Insecta,"Pseudoophonus rufipes (De Geer, 1774)",Pseudoophonus rufipes
species:cdnom:222335,species:cdnom:222335,genus:Microlestes,family:Carabidae,species,cdnom:222335,Microlestes luctuosus,Microlestes,Carabidae,Coleoptera,Insecta,"Microlestes luctuosus Holdhaus in Apfelbeck, 1904",Microlestes luctuosus
species:cdnom:194730,species:cdnom:194730,NA,family:Carabidae,species,cdnom:194730,NA,NA,Carabidae,Coleoptera,Insecta,"Microlestes Schmidt-Gödel, 1846",Microlestes
species:cdnom:9200,species:cdnom:9200,genus:Amara,family:Carabidae,species,cdnom:9200,Amara convexior,Amara,Carabidae,Coleoptera,Insecta,"Amara convexior Stephens, 1828",Amara convexior
species:cdnom:8782,species:cdnom:8782,genus:Calathus,family:Carabidae,species,cdnom:8782,Calathus fuscipes,Calathus,Carabidae,Coleoptera,Insecta,"Calathus fuscipes (Goeze, 1777)",Calathus fuscipes
species:cdnom:9287,species:cdnom:9287,genus:Diachromus,family:Carabidae,species,cdnom:9287,Diachromus germanus,Diachromus,Carabidae,Coleoptera,Insecta,"Diachromus germanus (Linnaeus, 1758)",Diachromus germanus
