predictor,baseline_ispline_weight,scenario_ispline_weight,delta_ispline_weight,distance,assemblage_id,scenario,scenario_family,baseline_scenario,unit_type,iter
Geographic,0.651692372253942,0.43826060913686277,-0.2134317631170793,Sørensen,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
mos,0.38665289569952666,0.3529906535217213,-0.033662242177805335,Sørensen,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
p_h,0.129789667658171,0.10873965244947088,-0.021050015208700104,Sørensen,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
t360_mean,1.8604355174159997,1.7808929607299373,-0.07954255668606236,Sørensen,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,1
Geographic,0.6210865416147091,0.5269291032828185,-0.09415743833189061,Bray-Curtis,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,1
mos,0.5084818982614743,0.49979258752335876,-0.008689310738115519,Bray-Curtis,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,1
p_h,0.18949784765891747,0.17677587985329446,-0.012721967805623013,Bray-Curtis,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,1
t360_mean,1.9277742737505843,1.9488815932020978,0.02110731945151345,Bray-Curtis,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,1
Geographic,0.651692372253942,0.5078876052889942,-0.14380476696494782,Sørensen,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,1
mos,0.38665289569952666,0.37785478018636914,-0.008798115513157512,Sørensen,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,1
p_h,0.129789667658171,0.11416618547699842,-0.015623482181172571,Sørensen,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,1
t360_mean,1.8604355174159997,1.959179037326477,0.09874351991047736,Sørensen,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,1
Geographic,0.6210865416147091,0.5793726851996448,-0.04171385641506431,Bray-Curtis,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,1
mos,0.5084818982614743,0.5616823351293855,0.053200436867911205,Bray-Curtis,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,1
p_h,0.18949784765891747,0.15466997499195054,-0.034827872666966936,Bray-Curtis,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,1
t360_mean,1.9277742737505843,1.9230582102865128,-0.004716063464071496,Bray-Curtis,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,1
Geographic,0.651692372253942,0.6576307683765253,0.005938396122583289,Sørensen,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,1
mos,0.38665289569952666,0.46232761528612903,0.07567471958660238,Sørensen,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,1
p_h,0.129789667658171,0.11367119724486402,-0.016118470413306968,Sørensen,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,1
t360_mean,1.8604355174159997,1.82452675184948,-0.03590876556651956,Sørensen,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,1
Geographic,0.6210865416147091,0.514288377156217,-0.1067981644584921,Bray-Curtis,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,2
mos,0.5084818982614743,0.5059922570056827,-0.0024896412557915415,Bray-Curtis,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,2
p_h,0.18949784765891747,0.21892668649071667,0.029428838831799198,Bray-Curtis,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,2
t360_mean,1.9277742737505843,1.936701809215994,0.008927535465409697,Bray-Curtis,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,2
Geographic,0.651692372253942,0.42834902247313106,-0.223343349780811,Sørensen,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,2
mos,0.38665289569952666,0.390039043390454,0.0033861476909273214,Sørensen,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,2
p_h,0.129789667658171,0.15283232353196968,0.023042655873798695,Sørensen,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,2
t360_mean,1.8604355174159997,1.8922329529254638,0.03179743550946412,Sørensen,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,2
Geographic,0.6210865416147091,0.5313799269096314,-0.08970661470507768,Bray-Curtis,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,2
mos,0.5084818982614743,0.5047468719362268,-0.0037350263252474702,Bray-Curtis,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,2
p_h,0.18949784765891747,0.17848217898979135,-0.011015668669126122,Bray-Curtis,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,2
t360_mean,1.9277742737505843,1.934857549028506,0.007083275277921741,Bray-Curtis,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,2
Geographic,0.651692372253942,0.48123377084885244,-0.17045860140508962,Sørensen,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,2
mos,0.38665289569952666,0.404156930474137,0.017504034774610322,Sørensen,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,2
p_h,0.129789667658171,0.1456633247770009,0.015873657118829904,Sørensen,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,2
t360_mean,1.8604355174159997,1.8665898924908486,0.00615437507484895,Sørensen,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,2
Geographic,0.6210865416147091,0.6229329045591366,0.0018463629444275265,Bray-Curtis,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,2
mos,0.5084818982614743,0.5467422464915784,0.03826034823010416,Bray-Curtis,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,2
p_h,0.18949784765891747,0.1634926416100927,-0.02600520604882478,Bray-Curtis,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,2
t360_mean,1.9277742737505843,2.0225993105289146,0.09482503677833032,Bray-Curtis,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,2
Geographic,0.651692372253942,0.6509470854710588,-7.452867828832144e-4,Sørensen,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,2
mos,0.38665289569952666,0.37300295287205765,-0.013649942827469008,Sørensen,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,2
p_h,0.129789667658171,0.08970773367148678,-0.04008193398668421,Sørensen,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,2
t360_mean,1.8604355174159997,1.9642800532498967,0.10384453583389708,Sørensen,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,2
Geographic,0.6210865416147091,0.5824675256233316,-0.038619015991377514,Bray-Curtis,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,3
mos,0.5084818982614743,0.4943846377991034,-0.014097260462370864,Bray-Curtis,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,3
p_h,0.18949784765891747,0.1809445074101699,-0.00855334024874757,Bray-Curtis,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,3
t360_mean,1.9277742737505843,1.924697693059125,-0.0030765806914592186,Bray-Curtis,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,3
Geographic,0.651692372253942,0.45772968469288683,-0.19396268756105522,Sørensen,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,3
mos,0.38665289569952666,0.4026626008480189,0.01600970514849226,Sørensen,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,3
p_h,0.129789667658171,0.12896306648714706,-8.266011710239274e-4,Sørensen,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,3
t360_mean,1.8604355174159997,1.8261011676240533,-0.034334349791946384,Sørensen,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,3
Geographic,0.6210865416147091,0.5842584035717641,-0.03682813804294505,Bray-Curtis,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,3
mos,0.5084818982614743,0.5301019727011641,0.02162007443968983,Bray-Curtis,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,3
p_h,0.18949784765891747,0.1635260654589305,-0.02597178219998697,Bray-Curtis,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,3
t360_mean,1.9277742737505843,1.9156612415301726,-0.012113032220411712,Bray-Curtis,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,3
Geographic,0.651692372253942,0.4697449146582229,-0.18194745759571918,Sørensen,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,3
mos,0.38665289569952666,0.4199417528296898,0.03328885713016316,Sørensen,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,3
p_h,0.129789667658171,0.1160099458004391,-0.013779721857731894,Sørensen,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,3
t360_mean,1.8604355174159997,1.8979789816231936,0.0375434642071939,Sørensen,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,3
Geographic,0.6210865416147091,0.586274318047271,-0.03481222356743807,Bray-Curtis,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,3
mos,0.5084818982614743,0.5467125185316827,0.038230620270208404,Bray-Curtis,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,3
p_h,0.18949784765891747,0.16817685903897847,-0.021320988619939002,Bray-Curtis,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,3
t360_mean,1.9277742737505843,1.9935954715244057,0.06582119777382145,Bray-Curtis,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,3
Geographic,0.651692372253942,0.4727114506363421,-0.17898092161759993,Sørensen,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,3
mos,0.38665289569952666,0.3898713126419924,0.0032184169424657183,Sørensen,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,3
p_h,0.129789667658171,0.11488693030834315,-0.014902737349827833,Sørensen,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,3
t360_mean,1.8604355174159997,1.9678884616881254,0.1074529442721257,Sørensen,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,3
Geographic,0.6210865416147091,0.5776895822345457,-0.043396959380163413,Bray-Curtis,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,4
mos,0.5084818982614743,0.553586278037354,0.04510437977587978,Bray-Curtis,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,4
p_h,0.18949784765891747,0.16076167977696218,-0.028736167881955293,Bray-Curtis,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,4
t360_mean,1.9277742737505843,1.9239797244710382,-0.0037945492795461444,Bray-Curtis,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,4
Geographic,0.651692372253942,0.3954812548337769,-0.25621111742016517,Sørensen,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,4
mos,0.38665289569952666,0.39462831401708137,0.007975418317554717,Sørensen,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,4
p_h,0.129789667658171,0.12897313783870365,-8.165298194673376e-4,Sørensen,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,4
t360_mean,1.8604355174159997,1.8446481983527594,-0.015787319063240268,Sørensen,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,4
Geographic,0.6210865416147091,0.5600870074909937,-0.06099953412371539,Bray-Curtis,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,4
mos,0.5084818982614743,0.530996086049602,0.02251418778812775,Bray-Curtis,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,4
p_h,0.18949784765891747,0.1847092355727893,-0.0047886120861281856,Bray-Curtis,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,4
t360_mean,1.9277742737505843,1.931992943438096,0.0042186696875117224,Bray-Curtis,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,4
Geographic,0.651692372253942,0.48084944150271486,-0.1708429307512272,Sørensen,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,4
mos,0.38665289569952666,0.40483168161282185,0.018178785913295192,Sørensen,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,4
p_h,0.129789667658171,0.14988008375407208,0.020090416095901092,Sørensen,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,4
t360_mean,1.8604355174159997,1.9013200793718243,0.04088456195582468,Sørensen,collembola_soil_core,species_observed_rare_weighted_10pct,species_error_rare_weighted,species_baseline,species_units,4
Geographic,0.6210865416147091,0.645900397457566,0.02481385584285689,Bray-Curtis,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,4
mos,0.5084818982614743,0.4803723882259294,-0.02810951003554485,Bray-Curtis,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,4
p_h,0.18949784765891747,0.15903090626551775,-0.030466941393399727,Bray-Curtis,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,4
t360_mean,1.9277742737505843,1.9567334828025718,0.028959209051987456,Bray-Curtis,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,4
Geographic,0.651692372253942,0.5932608237888921,-0.05843154846504994,Sørensen,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,4
mos,0.38665289569952666,0.3576035501751908,-0.029049345524335857,Sørensen,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,4
p_h,0.129789667658171,0.10751804444759805,-0.02227162321057294,Sørensen,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,4
t360_mean,1.8604355174159997,1.8838970276334315,0.023461510217431814,Sørensen,collembola_soil_core,species_regional_congeneric_10pct,species_error_regional_pool,species_baseline,species_units,4
Geographic,0.6210865416147091,0.5744924860527106,-0.04659405556199847,Bray-Curtis,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,5
mos,0.5084818982614743,0.4830651212684711,-0.025416776993003154,Bray-Curtis,collembola_soil_core,species_observed_congeneric_10pct,species_error_observed_pool,species_baseline,species_units,5
