source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:8502,Leistus,8502,species:cdref:223007,Leistus,223007,coherent_random,2,0.1,TRUE,0.2
species:cdnom:8826,Agonum,8826,species:cdref:250895,Agonum,250895,coherent_random,7,0.1,TRUE,0.7000000000000001
species:cdnom:795386,Bembidion,795386,species:cdref:794301,Bembidion,794301,coherent_random,1,0.1,TRUE,0.1
species:cdnom:794235,Dyschirius,794235,species:cdref:794227,Dyschirius,794227,coherent_random,1,0.1,TRUE,0.1
species:cdnom:795219,Bembidion,795219,species:cdref:794244,Bembidion,794244,coherent_random,17,0.1,TRUE,1.7000000000000002
species:cdnom:222568,Pterostichus,222568,species:cdref:795441,Pterostichus,795441,coherent_random,3,0.1,TRUE,0.30000000000000004
species:cdnom:222547,Poecilus,222547,species:cdref:222550,Poecilus,222550,coherent_random,37,0.1,TRUE,3.7
species:cdnom:222451,Harpalus,222451,species:cdref:222452,Harpalus,222452,coherent_random,17,0.1,TRUE,1.7000000000000002
species:cdnom:9309,Harpalus,9309,species:cdnom:9327,Harpalus,9327,coherent_random,3,0.1,TRUE,0.30000000000000004
species:cdnom:222356,Calathus,222356,species:cdref:222358,Calathus,222358,coherent_random,1,0.1,TRUE,0.1
species:cdnom:9212,Amara,9212,species:cdref:222661,Amara,222661,coherent_random,24,0.1,TRUE,2.4000000000000004
species:cdnom:8558,Dyschirius,8558,species:cdref:794233,Dyschirius,794233,coherent_random,3,0.1,TRUE,0.30000000000000004
species:cdnom:9217,Amara,9217,species:cdref:222651,Amara,222651,coherent_random,32,0.1,TRUE,3.2
species:cdnom:222352,Platyderus,222352,species:cdref:222353,Platyderus,222353,coherent_random,1,0.1,TRUE,0.1
species:cdnom:8447,Carabus,8447,species:cdref:251415,Carabus,251415,coherent_random,1,0.1,TRUE,0.1
