source_taxon_unit,source_genus,source_cd_ref,target_taxon_unit,target_genus,target_cd_ref,mapping_type,source_total_abundance,p_error,has_target,expected_reassigned_individuals
species:cdnom:795439,Poecilus,NA,species:cdnom:222541,Poecilus,NA,coherent_random,19,0.25,TRUE,4.75
species:cdnom:222652,Amara,NA,species:cdnom:9217,Amara,NA,coherent_random,10,0.25,TRUE,2.5
species:cdnom:9168,Cymindis,NA,NA,NA,NA,no_candidate,4,0.25,FALSE,0
species:cdnom:222465,Pseudoophonus,NA,species:cdnom:222466,Pseudoophonus,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:222482,Ophonus,NA,species:cdnom:222478,Ophonus,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:9103,Pterostichus,NA,species:cdnom:9136,Pterostichus,NA,coherent_random,5,0.25,TRUE,1.25
species:cdnom:8820,Agonum,NA,species:cdnom:8819,Agonum,NA,coherent_random,4,0.25,TRUE,1
species:cdnom:8379,Carabus,NA,species:cdnom:8358,Carabus,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:222508,Badister,NA,NA,NA,NA,no_candidate,2,0.25,FALSE,0
species:cdnom:222538,Pedius,NA,NA,NA,NA,no_candidate,3,0.25,FALSE,0
species:cdnom:251435,Carabus,NA,species:cdnom:8428,Carabus,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:8502,Leistus,NA,species:cdnom:8503,Leistus,NA,coherent_random,2,0.25,TRUE,0.5
species:cdnom:8826,Agonum,NA,species:cdnom:8820,Agonum,NA,coherent_random,7,0.25,TRUE,1.75
species:cdnom:795386,Bembidion,NA,species:cdnom:795216,Bembidion,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:794235,Dyschirius,NA,species:cdnom:8558,Dyschirius,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:795219,Bembidion,NA,species:cdnom:8617,Bembidion,NA,coherent_random,17,0.25,TRUE,4.25
species:cdnom:222568,Pterostichus,NA,species:cdnom:9100,Pterostichus,NA,coherent_random,3,0.25,TRUE,0.75
species:cdnom:222547,Poecilus,NA,species:cdnom:222541,Poecilus,NA,coherent_random,37,0.24487734543373102,TRUE,9.060461781048048
species:cdnom:222451,Harpalus,NA,species:cdnom:9315,Harpalus,NA,coherent_random,17,0.25,TRUE,4.25
species:cdnom:9309,Harpalus,NA,species:cdnom:9315,Harpalus,NA,coherent_random,3,0.25,TRUE,0.75
species:cdnom:222356,Calathus,NA,species:cdnom:8784,Calathus,NA,coherent_random,1,0.25,TRUE,0.25
species:cdnom:9212,Amara,NA,species:cdnom:9192,Amara,NA,coherent_random,24,0.25,TRUE,6
species:cdnom:8558,Dyschirius,NA,species:cdnom:794235,Dyschirius,NA,coherent_random,3,0.25,TRUE,0.75
species:cdnom:9217,Amara,NA,species:cdnom:222652,Amara,NA,coherent_random,32,0.25,TRUE,8
species:cdnom:222352,Platyderus,NA,NA,NA,NA,no_candidate,1,0.25,FALSE,0
species:cdnom:8447,Carabus,NA,species:cdnom:8410,Carabus,NA,coherent_random,1,0.25,TRUE,0.25
