observed_taxon_unit,observed_cd_nom,observed_label,observed_genus,observed_family,cd_ref,accepted_name,genus,family,match_method,in_regional_pool,override_note,n_regional_candidates,n_alternative_candidates,has_alternative_candidate,assemblage_id
species:cdnom:216269,216269,Lepidocyrtus cyaneus,Lepidocyrtus,Entomobryidae,216269,Lepidocyrtus cyaneus,Lepidocyrtus,Entomobryidae,cd_nom_alias,TRUE,NA,9,8,TRUE,collembola_soil_core
species:cdnom:216341,216341,Megalothorax minimus,Megalothorax,Neelidae,216341,Megalothorax minimus,Megalothorax,Neelidae,cd_nom_alias,TRUE,NA,9,8,TRUE,collembola_soil_core
species:cdnom:216426,216426,Sphaeridia pumilis,Sphaeridia,Sminthurididae,216426,Sphaeridia pumilis,Sphaeridia,Sminthurididae,cd_nom_alias,TRUE,NA,1,0,FALSE,collembola_soil_core
species:cdnom:215889,215889,Lathriopyga longiseta,Lathriopyga,Neanuridae,215889,Lathriopyga longiseta,Lathriopyga,Neanuridae,cd_nom_alias,TRUE,NA,2,1,TRUE,collembola_soil_core
species:cdnom:215800,215800,Ceratophysella bengtssoni,Ceratophysella,Hypogastruridae,215800,Ceratophysella bengtssoni,Ceratophysella,Hypogastruridae,cd_nom_alias,TRUE,NA,16,15,TRUE,collembola_soil_core
species:cdnom:215877,215877,Neanura muscorum,Neanura,Neanuridae,215877,Neanura muscorum,Neanura,Neanuridae,cd_nom_alias,TRUE,NA,2,1,TRUE,collembola_soil_core
species:cdnom:216313,216313,Cyphoderus bidenticulatus,Cyphoderus,Cyphoderidae,216313,Cyphoderus bidenticulatus,Cyphoderus,Cyphoderidae,cd_nom_alias,TRUE,NA,6,5,TRUE,collembola_soil_core
species:cdnom:216313,216313,Cyphoderus bidenticulatus,Cyphoderus,Cyphoderidae,216313,Cyphoderus bidenticulatus,Cyphoderus,Cyphoderidae,cd_nom_alias,TRUE,NA,6,5,TRUE,collembola_soil_core
species:cdnom:216421,216421,Sminthurides parvulus,Sminthurides,Sminthurididae,216421,Sminthurides parvulus,Sminthurides,Sminthurididae,cd_nom_alias,TRUE,NA,9,8,TRUE,collembola_soil_core
species:cdnom:215824,215824,Hypogastrura vernalis,Hypogastrura,Hypogastruridae,215824,Hypogastrura vernalis,Hypogastrura,Hypogastruridae,cd_nom_alias,TRUE,NA,21,20,TRUE,collembola_soil_core
species:cdnom:216290,216290,Heteromurus nitidus,Heteromurus,Entomobryidae,216290,Heteromurus nitidus,Heteromurus,Entomobryidae,cd_nom_alias,TRUE,NA,3,2,TRUE,collembola_soil_core
species:cdnom:215819,215819,Hypogastrura manubrialis,Hypogastrura,Hypogastruridae,215819,Hypogastrura manubrialis,Hypogastrura,Hypogastruridae,cd_nom_alias,TRUE,NA,21,20,TRUE,collembola_soil_core
species:cdnom:254543,254543,Xenylla welchi,Xenylla,Hypogastruridae,254543,Xenylla welchi,Xenylla,Hypogastruridae,cd_nom_alias,TRUE,NA,13,12,TRUE,collembola_soil_core
species:cdnom:28893,28893,Folsomia candida,Folsomia,Isotomidae,28893,Folsomia candida,Folsomia,Isotomidae,cd_nom_alias,TRUE,NA,23,22,TRUE,collembola_soil_core
species:cdnom:216155,216155,Proisotoma minuta,Proisotoma,Isotomidae,216155,Proisotoma minuta,Proisotoma,Isotomidae,cd_nom_alias,TRUE,NA,5,4,TRUE,collembola_soil_core
species:cdnom:215856,215856,Triacanthella perfecta,Triacanthella,Hypogastruridae,215856,Triacanthella perfecta,Triacanthella,Hypogastruridae,cd_nom_alias,TRUE,NA,4,3,TRUE,collembola_soil_core
species:cdnom:215867,215867,Xenylla tullbergi,Xenylla,Hypogastruridae,215867,Xenylla tullbergi,Xenylla,Hypogastruridae,cd_nom_alias,TRUE,NA,13,12,TRUE,collembola_soil_core
species:cdnom:255221,255221,Folsomides parvulus,Folsomides,Isotomidae,255221,Folsomides parvulus,Folsomides,Isotomidae,cd_nom_alias,TRUE,NA,7,6,TRUE,collembola_soil_core
species:cdnom:254524,254524,Willemia intermedia,Willemia,Hypogastruridae,254524,Willemia intermedia,Willemia,Hypogastruridae,cd_nom_alias,TRUE,NA,4,3,TRUE,collembola_soil_core
species:cdnom:28902,28902,Lepidocyrtus lignorum,Lepidocyrtus,Entomobryidae,28902,Lepidocyrtus lignorum,Lepidocyrtus,Entomobryidae,cd_nom_alias,TRUE,NA,9,8,TRUE,collembola_soil_core
species:cdnom:884828,884828,Sminthurides pseudassimilis,Sminthurides,Sminthurididae,884828,Sminthurides pseudassimilis,Sminthurides,Sminthurididae,cd_nom_alias,TRUE,NA,9,8,TRUE,collembola_soil_core
species:cdnom:215945,215945,Friesea truncata,Friesea,Neanuridae,215945,Friesea truncata,Friesea,Neanuridae,cd_nom_alias,TRUE,NA,26,25,TRUE,collembola_soil_core
species:cdnom:884524,884524,Stenaphorura denisi,Stenaphorura,Tullbergiidae,884524,Stenaphorura denisi,Stenaphorura,Tullbergiidae,cd_nom_alias,TRUE,NA,2,1,TRUE,collembola_soil_core
species:cdnom:837805,837805,Bourletiella hortensis,Bourletiella,Bourletiellidae,837805,Bourletiella hortensis,Bourletiella,Bourletiellidae,cd_nom_alias,TRUE,NA,10,9,TRUE,collembola_soil_core
species:cdnom:215868,215868,Xenylla xavieri,Xenylla,Hypogastruridae,215868,Xenylla xavieri,Xenylla,Hypogastruridae,cd_nom_alias,TRUE,NA,13,12,TRUE,collembola_soil_core
species:cdnom:216006,216006,Metaphorura affinis,Metaphorura,Tullbergiidae,216006,Metaphorura affinis,Metaphorura,Tullbergiidae,cd_nom_alias,TRUE,NA,3,2,TRUE,collembola_soil_core
species:cdnom:216130,216130,Isotomodes productus,Isotomodes,Isotomidae,216130,Isotomodes productus,Isotomodes,Isotomidae,cd_nom_alias,TRUE,NA,8,7,TRUE,collembola_soil_core
species:cdnom:216246,216246,Pseudosinella octopunctata,Pseudosinella,Entomobryidae,216246,Pseudosinella octopunctata,Pseudosinella,Entomobryidae,cd_nom_alias,TRUE,NA,62,61,TRUE,collembola_soil_core
species:cdnom:884837,884837,Neelus murinus,Neelus,Neelidae,884837,Neelus murinus,Neelus,Neelidae,cd_nom_alias,TRUE,NA,1,0,FALSE,collembola_soil_core
species:cdnom:216236,216236,Pseudosinella immaculata,Pseudosinella,Entomobryidae,216236,Pseudosinella immaculata,Pseudosinella,Entomobryidae,cd_nom_alias,TRUE,NA,62,61,TRUE,collembola_soil_core
