taxon_unit,cd_ref,accepted_name,genus,family,observed_in_assemblage,candidate_origin
species:cdref:781073,781073,Entionella monensis,Entionella,Entoniscidae,FALSE,TAXREF_mainland
species:cdref:780408,780408,Entoniscus porcellanae,Entoniscus,Entoniscidae,FALSE,TAXREF_mainland
species:cdref:1038818,1038818,Eremitione hyndmanni,Eremitione,Bopyridae,FALSE,TAXREF_mainland
species:cdref:380063,380063,Ergyne cervicornis,Ergyne,Bopyridae,FALSE,TAXREF_mainland
species:cdref:939328,939328,Eurycope brevirostris,Eurycope,Munnopsidae,FALSE,TAXREF_mainland
species:cdref:939329,939329,Eurycope centobi,Eurycope,Munnopsidae,FALSE,TAXREF_mainland
species:cdref:939330,939330,Eurycope complanata,Eurycope,Munnopsidae,FALSE,TAXREF_mainland
species:cdref:939331,939331,Eurycope cornuta,Eurycope,Munnopsidae,FALSE,TAXREF_mainland
species:cdref:939334,939334,Eurycope inermis,Eurycope,Munnopsidae,FALSE,TAXREF_mainland
species:cdref:939335,939335,Eurycope iphthima,Eurycope,Munnopsidae,FALSE,TAXREF_mainland
species:cdref:939339,939339,Eurycope producta,Eurycope,Munnopsidae,FALSE,TAXREF_mainland
species:cdref:361540,361540,Eurydice affinis,Eurydice,Cirolanidae,FALSE,TAXREF_mainland
species:cdref:361544,361544,Eurydice dollfusi,Eurydice,Cirolanidae,FALSE,TAXREF_mainland
species:cdref:361545,361545,Eurydice grimaldii,Eurydice,Cirolanidae,FALSE,TAXREF_mainland
species:cdref:361549,361549,Eurydice inermis,Eurydice,Cirolanidae,FALSE,TAXREF_mainland
species:cdref:361551,361551,Eurydice pontica,Eurydice,Cirolanidae,FALSE,TAXREF_mainland
species:cdref:18824,18824,Eurydice pulchra,Eurydice,Cirolanidae,FALSE,TAXREF_mainland
species:cdref:531267,531267,Eurydice spinigera,Eurydice,Cirolanidae,FALSE,TAXREF_mainland
species:cdref:361548,361548,Eurydice truncata,Eurydice,Cirolanidae,FALSE,TAXREF_mainland
species:cdref:18367,18367,Faucheria faucheri,Faucheria,Cirolanidae,FALSE,TAXREF_mainland
species:cdref:237126,237126,Finaloniscus briani,Finaloniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237127,237127,Finaloniscus franciscoloi,Finaloniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:240945,240945,Gallasellus heilyi,Gallasellus,Asellidae,FALSE,TAXREF_mainland
species:cdref:361720,361720,Gnathia dentata,Gnathia,Gnathiidae,FALSE,TAXREF_mainland
species:cdref:361721,361721,Gnathia fallax,Gnathia,Gnathiidae,FALSE,TAXREF_mainland
species:cdref:361716,361716,Gnathia illepidus,Gnathia,Gnathiidae,FALSE,TAXREF_mainland
species:cdref:361722,361722,Gnathia inopinata,Gnathia,Gnathiidae,FALSE,TAXREF_mainland
species:cdref:361727,361727,Gnathia maxillaris,Gnathia,Gnathiidae,FALSE,TAXREF_mainland
species:cdref:361728,361728,Gnathia oxyuraea,Gnathia,Gnathiidae,FALSE,TAXREF_mainland
species:cdref:361725,361725,Gnathia phallonajopsis,Gnathia,Gnathiidae,FALSE,TAXREF_mainland
species:cdref:361726,361726,Gnathia teissieri,Gnathia,Gnathiidae,FALSE,TAXREF_mainland
species:cdref:781026,781026,Gnathia venusta,Gnathia,Gnathiidae,FALSE,TAXREF_mainland
species:cdref:361717,361717,Gnathia vorax,Gnathia,Gnathiidae,FALSE,TAXREF_mainland
species:cdref:780409,780409,Gnomoniscus podasconis,Gnomoniscus,Cabiropidae,FALSE,TAXREF_mainland
species:cdref:939709,939709,Gracilimesus angustus,Gracilimesus,Ischnomesidae,FALSE,TAXREF_mainland
species:cdref:939712,939712,Gracilimesus insignis,Gracilimesus,Ischnomesidae,FALSE,TAXREF_mainland
species:cdref:939717,939717,Gracilimesus tenuispinis,Gracilimesus,Ischnomesidae,FALSE,TAXREF_mainland
species:cdref:380062,380062,Grapsicepon edwardsi,Grapsicepon,Bopyridae,FALSE,TAXREF_mainland
species:cdref:380061,380061,Gyge branchialis,Gyge,Bopyridae,FALSE,TAXREF_mainland
species:cdref:370124,370124,Haliophasma alaticauda,Haliophasma,Anthuridae,FALSE,TAXREF_mainland
species:cdref:237045,237045,Halophiloscia couchii,Halophiloscia,Halophilosciidae,FALSE,TAXREF_mainland
species:cdref:237046,237046,Halophiloscia hirsuta,Halophiloscia,Halophilosciidae,FALSE,TAXREF_mainland
species:cdref:237047,237047,Halophiloscia ischiana,Halophiloscia,Halophilosciidae,FALSE,TAXREF_mainland
species:cdref:237048,237048,Halophiloscia tyrrhena,Halophiloscia,Halophilosciidae,FALSE,TAXREF_mainland
species:cdref:939714,939714,Haplomesus quadrispinosus,Haplomesus,Ischnomesidae,FALSE,TAXREF_mainland
species:cdref:939721,939721,Haploniscus antarcticus,Haploniscus,Haploniscidae,FALSE,TAXREF_mainland
species:cdref:939846,939846,Haploniscus curvirostris,Haploniscus,Haploniscidae,FALSE,TAXREF_mainland
species:cdref:939847,939847,Haploniscus foresti,Haploniscus,Haploniscidae,FALSE,TAXREF_mainland
species:cdref:939848,939848,Haploniscus ingolfi,Haploniscus,Haploniscidae,FALSE,TAXREF_mainland
species:cdref:939851,939851,Haploniscus unicornis,Haploniscus,Haploniscidae,FALSE,TAXREF_mainland
species:cdref:237130,237130,Haplophthalmus danicus,Haplophthalmus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:808690,808690,Haplophthalmus mengii,Haplophthalmus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:808762,808762,Haplophthalmus meridionalis,Haplophthalmus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237132,237132,Haplophthalmus montivagus,Haplophthalmus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237135,237135,Haplophthalmus teissieri,Haplophthalmus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:939903,939903,Hapsidohedra aspidophora,Hapsidohedra,Munnopsidae,FALSE,TAXREF_mainland
species:cdref:942081,942081,Hebefustis hirsutus,Hebefustis,Nannoniscidae,FALSE,TAXREF_mainland
species:cdref:237137,237137,Helenoniscus prenanti,Helenoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237217,237217,Helleria brevicornis,Helleria,Tylidae,FALSE,TAXREF_mainland
species:cdref:380060,380060,Hemiarthrus abdominalis,Hemiarthrus,Bopyridae,FALSE,TAXREF_mainland
species:cdref:1038800,1038800,Hemioniscus anatifae,Hemioniscus,Hemioniscidae,FALSE,TAXREF_mainland
species:cdref:647659,647659,Hemioniscus balani,Hemioniscus,Hemioniscidae,FALSE,TAXREF_mainland
species:cdref:939881,939881,Heteromesus drachi,Heteromesus,Ischnomesidae,FALSE,TAXREF_mainland
species:cdref:939882,939882,Heteromesus frigidus,Heteromesus,Ischnomesidae,FALSE,TAXREF_mainland
species:cdref:939883,939883,Heteromesus longiremis,Heteromesus,Ischnomesidae,FALSE,TAXREF_mainland
species:cdref:939885,939885,Heteromesus spinescens,Heteromesus,Ischnomesidae,FALSE,TAXREF_mainland
species:cdref:939887,939887,Heteromesus wolffi,Heteromesus,Ischnomesidae,FALSE,TAXREF_mainland
species:cdref:1019102,1019102,Heterophryxus appendiculatus,Heterophryxus,Dajidae,FALSE,TAXREF_mainland
species:cdref:780387,780387,Holophryxus richardi,Holophryxus,Dajidae,FALSE,TAXREF_mainland
species:cdnom:237139,237139,Hyloniscus riparius,Hyloniscus,Trichoniscidae,TRUE,observed_RMQS
species:cdref:380040,380040,Hyssura ligurica,Hyssura,Hyssuridae,FALSE,TAXREF_mainland
species:cdref:380038,380038,Hyssura profunda,Hyssura,Hyssuridae,FALSE,TAXREF_mainland
species:cdref:1021707,1021707,Ianiropsis breviremis,Ianiropsis,Janiridae,FALSE,TAXREF_mainland
species:cdref:380167,380167,Idotea balthica,Idotea,Idoteidae,FALSE,TAXREF_mainland
species:cdref:380158,380158,Idotea chelipes,Idotea,Idoteidae,FALSE,TAXREF_mainland
species:cdref:380160,380160,Idotea emarginata,Idotea,Idoteidae,FALSE,TAXREF_mainland
species:cdref:380155,380155,Idotea granulosa,Idotea,Idoteidae,FALSE,TAXREF_mainland
species:cdref:380162,380162,Idotea linearis,Idotea,Idoteidae,FALSE,TAXREF_mainland
species:cdref:380161,380161,Idotea metallica,Idotea,Idoteidae,FALSE,TAXREF_mainland
species:cdref:380163,380163,Idotea neglecta,Idotea,Idoteidae,FALSE,TAXREF_mainland
species:cdref:380164,380164,Idotea pelagica,Idotea,Idoteidae,FALSE,TAXREF_mainland
species:cdref:374295,374295,Idusa dieuzeidei,Idusa,Cymothoidae,FALSE,TAXREF_mainland
species:cdref:939978,939978,Ilyarachna affinis,Ilyarachna,Munnopsidae,FALSE,TAXREF_mainland
species:cdref:816605,816605,Ilyarachna antarctica,Ilyarachna,Munnopsidae,FALSE,TAXREF_mainland
species:cdref:939901,939901,Ilyarachna argentina,Ilyarachna,Munnopsidae,FALSE,TAXREF_mainland
species:cdref:374166,374166,Ilyarachna longicornis,Ilyarachna,Munnopsidae,FALSE,TAXREF_mainland
species:cdref:939975,939975,Ilyarachna polita,Ilyarachna,Munnopsidae,FALSE,TAXREF_mainland
species:cdref:380058,380058,Ione thoracica,Ione,Ionidae,FALSE,TAXREF_mainland
species:cdref:939996,939996,Ischnomesus armatus,Ischnomesus,Ischnomesidae,FALSE,TAXREF_mainland
species:cdref:939997,939997,Ischnomesus caribbicus,Ischnomesus,Ischnomesidae,FALSE,TAXREF_mainland
species:cdref:968783,968783,Ischnomesus harrietae,Ischnomesus,Ischnomesidae,FALSE,TAXREF_mainland
species:cdref:939999,939999,Ischnomesus profundus,Ischnomesus,Ischnomesidae,FALSE,TAXREF_mainland
species:cdref:940001,940001,Ischnomesus roseus,Ischnomesus,Ischnomesidae,FALSE,TAXREF_mainland
species:cdref:891905,891905,Ischyromene lacazei,Ischyromene,Sphaeromatidae,FALSE,TAXREF_mainland
species:cdref:544262,544262,Jaera albifrons,Jaera,Janiridae,FALSE,TAXREF_mainland
species:cdref:544264,544264,Jaera forsmani,Jaera,Janiridae,FALSE,TAXREF_mainland
species:cdref:544265,544265,Jaera hopeana,Jaera,Janiridae,FALSE,TAXREF_mainland
species:cdref:544266,544266,Jaera ischiosetosa,Jaera,Janiridae,FALSE,TAXREF_mainland
species:cdref:544268,544268,Jaera italica,Jaera,Janiridae,FALSE,TAXREF_mainland
species:cdref:544269,544269,Jaera nordica,Jaera,Janiridae,FALSE,TAXREF_mainland
species:cdref:544270,544270,Jaera nordmanni,Jaera,Janiridae,FALSE,TAXREF_mainland
species:cdref:544271,544271,Jaera petiti,Jaera,Janiridae,FALSE,TAXREF_mainland
species:cdref:544272,544272,Jaera praehirsuta,Jaera,Janiridae,FALSE,TAXREF_mainland
species:cdref:544276,544276,Jaera syei,Jaera,Janiridae,FALSE,TAXREF_mainland
species:cdref:1001664,1001664,Janira denticulata,Janira,Janiridae,FALSE,TAXREF_mainland
species:cdref:17619,17619,Janira maculosa,Janira,Janiridae,FALSE,TAXREF_mainland
species:cdref:374187,374187,Janirella bonnieri,Janirella,Janirellidae,FALSE,TAXREF_mainland
species:cdref:940016,940016,Janirella caribbica,Janirella,Janirellidae,FALSE,TAXREF_mainland
species:cdref:374188,374188,Janirella hessleri,Janirella,Janirellidae,FALSE,TAXREF_mainland
species:cdref:940017,940017,Janirella laevis,Janirella,Janirellidae,FALSE,TAXREF_mainland
species:cdref:940018,940018,Janirella nanseni,Janirella,Janirellidae,FALSE,TAXREF_mainland
species:cdref:940019,940019,Janirella priseri,Janirella,Janirellidae,FALSE,TAXREF_mainland
species:cdref:374198,374198,Joeropsis brevicornis,Joeropsis,Joeropsididae,FALSE,TAXREF_mainland
species:cdref:374196,374196,Joeropsis dollfusi,Joeropsis,Joeropsididae,FALSE,TAXREF_mainland
species:cdref:374197,374197,Joeropsis legrandi,Joeropsis,Joeropsididae,FALSE,TAXREF_mainland
species:cdref:1001694,1001694,Joeropsis mediterranea,Joeropsis,Joeropsididae,FALSE,TAXREF_mainland
species:cdref:970487,970487,Lekanesphaera bocqueti,Lekanesphaera,Sphaeromatidae,FALSE,TAXREF_mainland
species:cdref:366506,366506,Lekanesphaera ephippium,Lekanesphaera,Sphaeromatidae,FALSE,TAXREF_mainland
species:cdref:366504,366504,Lekanesphaera hookeri,Lekanesphaera,Sphaeromatidae,FALSE,TAXREF_mainland
species:cdref:366509,366509,Lekanesphaera levii,Lekanesphaera,Sphaeromatidae,FALSE,TAXREF_mainland
species:cdref:366503,366503,Lekanesphaera marginata,Lekanesphaera,Sphaeromatidae,FALSE,TAXREF_mainland
species:cdref:366516,366516,Lekanesphaera monodi,Lekanesphaera,Sphaeromatidae,FALSE,TAXREF_mainland
species:cdref:366511,366511,Lekanesphaera rugicauda,Lekanesphaera,Sphaeromatidae,FALSE,TAXREF_mainland
species:cdref:366513,366513,Lekanesphaera teissieri,Lekanesphaera,Sphaeromatidae,FALSE,TAXREF_mainland
species:cdref:380044,380044,Leptanthura affinis,Leptanthura,Leptanthuridae,FALSE,TAXREF_mainland
species:cdref:380050,380050,Leptanthura chardyi,Leptanthura,Leptanthuridae,FALSE,TAXREF_mainland
species:cdref:647581,647581,Leptanthura micrura,Leptanthura,Leptanthuridae,FALSE,TAXREF_mainland
species:cdref:380047,380047,Leptanthura tenuis,Leptanthura,Leptanthuridae,FALSE,TAXREF_mainland
species:cdref:940414,940414,Leptanthura truncata,Leptanthura,Leptanthuridae,FALSE,TAXREF_mainland
species:cdref:380048,380048,Leptanthura victori,Leptanthura,Leptanthuridae,FALSE,TAXREF_mainland
species:cdref:237079,237079,Leptotrichus panzerii,Leptotrichus,Porcellionidae,FALSE,TAXREF_mainland
species:cdref:18775,18775,Ligia italica,Ligia,Ligiidae,FALSE,TAXREF_mainland
species:cdref:18777,18777,Ligia oceanica,Ligia,Ligiidae,FALSE,TAXREF_mainland
species:cdnom:237050,237050,Ligidium hypnorum,Ligidium,Ligiidae,TRUE,observed_RMQS
species:cdref:647503,647503,Limnoria tripunctata,Limnoria,Limnoriidae,FALSE,TAXREF_mainland
species:cdref:647660,647660,Liriopsis pygmaea,Liriopsis,Cryptoniscidae,FALSE,TAXREF_mainland
species:cdref:646935,646935,Livoneca pomatoi,Livoneca,Cymothoidae,FALSE,TAXREF_mainland
species:cdref:374324,374324,Livoneca ricinoides,Livoneca,Cymothoidae,FALSE,TAXREF_mainland
species:cdref:237081,237081,Lucasius pallidus,Lucasius,Porcellionidae,FALSE,TAXREF_mainland
species:cdref:1040034,1040034,Macedonethes castellonensis,Macedonethes,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:941502,941502,Macrostylis longipes,Macrostylis,Macrostylidae,FALSE,TAXREF_mainland
species:cdref:941503,941503,Macrostylis magnifica,Macrostylis,Macrostylidae,FALSE,TAXREF_mainland
species:cdref:941504,941504,Macrostylis subinermis,Macrostylis,Macrostylidae,FALSE,TAXREF_mainland
species:cdref:941505,941505,Macrostylis truncatex,Macrostylis,Macrostylidae,FALSE,TAXREF_mainland
species:cdref:370116,370116,Malacanthura truncata,Malacanthura,Anthuridae,FALSE,TAXREF_mainland
species:cdref:366493,366493,Metacirolana hanseni,Metacirolana,Cirolanidae,FALSE,TAXREF_mainland
species:cdref:237141,237141,Metatrichoniscoides fouresi,Metatrichoniscoides,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:311291,311291,Metatrichoniscoides leydigii,Metatrichoniscoides,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:237142,237142,Metatrichoniscoides nemausiensis,Metatrichoniscoides,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:240971,240971,Microcharon angelieri,Microcharon,Lepidocharontidae,FALSE,TAXREF_mainland
species:cdref:891902,891902,Microcharon ariegensis,Microcharon,Lepidocharontidae,FALSE,TAXREF_mainland
species:cdref:240972,240972,Microcharon boui,Microcharon,Lepidocharontidae,FALSE,TAXREF_mainland
species:cdref:891903,891903,Microcharon boulanouari,Microcharon,Lepidocharontidae,FALSE,TAXREF_mainland
species:cdref:240973,240973,Microcharon doueti,Microcharon,Lepidocharontidae,FALSE,TAXREF_mainland
species:cdref:240974,240974,Microcharon juberthiei,Microcharon,Lepidocharontidae,FALSE,TAXREF_mainland
species:cdref:18379,18379,Microcharon marinus,Microcharon,Lepidocharontidae,FALSE,TAXREF_mainland
species:cdref:240975,240975,Microcharon reginae,Microcharon,Lepidocharontidae,FALSE,TAXREF_mainland
species:cdref:240976,240976,Microcharon rouchi,Microcharon,Lepidocharontidae,FALSE,TAXREF_mainland
species:cdref:240977,240977,Microcharon sisyphus,Microcharon,Lepidocharontidae,FALSE,TAXREF_mainland
species:cdref:320743,320743,Microcharon teissieri,Microcharon,Lepidocharontidae,FALSE,TAXREF_mainland
species:cdref:366486,366486,Microjaera anisopoda,Microjaera,Janiridae,FALSE,TAXREF_mainland
species:cdref:237143,237143,Miktoniscus patiencei,Miktoniscus,Trichoniscidae,FALSE,TAXREF_mainland
species:cdref:942053,942053,Mirabilicoxa gracilipes,Mirabilicoxa,Desmosomatidae,FALSE,TAXREF_mainland
species:cdref:942055,942055,Mirabilicoxa longispina,Mirabilicoxa,Desmosomatidae,FALSE,TAXREF_mainland
species:cdref:942057,942057,Mirabilicoxa similis,Mirabilicoxa,Desmosomatidae,FALSE,TAXREF_mainland
species:cdref:374327,374327,Mothocya epimerica,Mothocya,Cymothoidae,FALSE,TAXREF_mainland
species:cdref:374135,374135,Munella danteci,Munella,Haplomunnidae,FALSE,TAXREF_mainland
species:cdref:374212,374212,Munna armoricana,Munna,Munnidae,FALSE,TAXREF_mainland
