taxon_unit,cd_ref,accepted_name,genus,family,observed_in_assemblage,candidate_origin
species:cdref:227451,227451,Geoglomeris subterranea,Geoglomeris,Glomeridae,FALSE,TAXREF_mainland
species:cdref:227446,227446,Glomeridella kervillei,Glomeridella,Glomeridellidae,FALSE,TAXREF_mainland
species:cdref:64857,64857,Glomeris annulata,Glomeris,Glomeridae,FALSE,TAXREF_mainland
species:cdref:227452,227452,Glomeris connexa,Glomeris,Glomeridae,FALSE,TAXREF_mainland
species:cdref:400367,400367,Glomeris esterelana,Glomeris,Glomeridae,FALSE,TAXREF_mainland
species:cdref:64858,64858,Glomeris guttata,Glomeris,Glomeridae,FALSE,TAXREF_mainland
species:cdref:227453,227453,Glomeris helvetica,Glomeris,Glomeridae,FALSE,TAXREF_mainland
species:cdnom:227454,227454,Glomeris intermedia,Glomeris,Glomeridae,TRUE,observed_RMQS
species:cdref:227457,227457,Glomeris klugii,Glomeris,Glomeridae,FALSE,TAXREF_mainland
species:cdref:894207,894207,Glomeris ligurica,Glomeris,Glomeridae,FALSE,TAXREF_mainland
species:cdnom:64859,64859,Glomeris marginata,Glomeris,Glomeridae,TRUE,observed_RMQS
species:cdref:227455,227455,Glomeris pustulata,Glomeris,Glomeridae,FALSE,TAXREF_mainland
species:cdref:227456,227456,Glomeris transalpina,Glomeris,Glomeridae,FALSE,TAXREF_mainland
species:cdnom:227458,227458,Glomeris valesiaca,Glomeris,Glomeridae,TRUE,observed_RMQS
species:cdref:227530,227530,Haasea flavescens,Haasea,Haaseidae,FALSE,TAXREF_mainland
species:cdref:227639,227639,Haplopodoiulus spathifer,Haplopodoiulus,Julidae,FALSE,TAXREF_mainland
species:cdref:227572,227572,Helvetiosoma arvernum,Helvetiosoma,Craspedosomatidae,FALSE,TAXREF_mainland
species:cdref:227474,227474,Hirudisoma latum,Hirudisoma,Hirudisomatidae,FALSE,TAXREF_mainland
species:cdref:1038287,1038287,Hirudisoma trivittatum,Hirudisoma,Hirudisomatidae,FALSE,TAXREF_mainland
