code_ech,station,method
RMQS_2024_LAURIS_2034_hand-sorting_4,2034,hand-sorting
RMQS_2024_LAURIS_2034_hand-sorting_5,2034,hand-sorting
RMQS_2024_LAURIS_2034_hand-sorting_6,2034,hand-sorting
RMQS_2024_LE MAS_1996_hand-sorting_2,1996,hand-sorting
RMQS_2024_LE MAS_1996_hand-sorting_3,1996,hand-sorting
RMQS_2024_LE MAS_1996_hand-sorting_4,1996,hand-sorting
RMQS_2024_LE MAS_1996_hand-sorting_6,1996,hand-sorting
RMQS_2024_LE PEAGE-DE-ROUSILLON_1556_hand-sorting_2,1556,hand-sorting
RMQS_2024_LE PEAGE-DE-ROUSILLON_1556_hand-sorting_3,1556,hand-sorting
RMQS_2024_LE PEAGE-DE-ROUSILLON_1556_hand-sorting_4,1556,hand-sorting
RMQS_2024_LE PEAGE-DE-ROUSILLON_1556_hand-sorting_5,1556,hand-sorting
RMQS_2024_LE PEAGE-DE-ROUSILLON_1556_hand-sorting_6,1556,hand-sorting
RMQS_2024_LE PERIER_1686_hand-sorting_1,1686,hand-sorting
RMQS_2024_LE PERIER_1686_hand-sorting_5,1686,hand-sorting
RMQS_2024_LE-MAS_1996_hand-sorting_1,1996,hand-sorting
RMQS_2024_LE-MAS_1996_hand-sorting_2,1996,hand-sorting
RMQS_2024_LE-MAS_1996_hand-sorting_3,1996,hand-sorting
RMQS_2024_LE-MAS_1996_hand-sorting_4,1996,hand-sorting
RMQS_2024_LE-MAS_1996_hand-sorting_5,1996,hand-sorting
RMQS_2024_LE-MAS_1996_hand-sorting_6,1996,hand-sorting
RMQS_2024_LE-PEAGE-DE-ROUSILLON_1556_hand-sorting_3,1556,hand-sorting
RMQS_2024_LE-PEAGE-DE-ROUSILLON_1556_hand-sorting_4,1556,hand-sorting
RMQS_2024_LE-PEAGE-DE-ROUSSILLON_1556_hand-sorting_1,1556,hand-sorting
RMQS_2024_LE-PEAGE-DE-ROUSSILLON_1556_hand-sorting_2,1556,hand-sorting
RMQS_2024_LE-PEAGE-DE-ROUSSILLON_1556_hand-sorting_3,1556,hand-sorting
RMQS_2024_LE-PEAGE-DE-ROUSSILLON_1556_hand-sorting_4,1556,hand-sorting
RMQS_2024_LE-PEAGE-DE-ROUSSILLON_1556_hand-sorting_5,1556,hand-sorting
RMQS_2024_LE-PEAGE-DE-ROUSSILLON_1556_hand-sorting_6,1556,hand-sorting
RMQS_2024_LE-PERIER_1686_hand-sorting_2,1686,hand-sorting
RMQS_2024_LE-PERIER_1686_hand-sorting_3,1686,hand-sorting
RMQS_2024_LE-PERIER_1686_hand-sorting_6,1686,hand-sorting
RMQS_2024_LES COMBES_1064_hand-sorting_1,1064,hand-sorting
RMQS_2024_LES COMBES_1064_hand-sorting_2,1064,hand-sorting
RMQS_2024_LES COMBES_1064_hand-sorting_4,1064,hand-sorting
RMQS_2024_LESCAR_2142_hand-sorting_1,2142,hand-sorting
RMQS_2024_LESCAR_2142_hand-sorting_2,2142,hand-sorting
RMQS_2024_LESCAR_2142_hand-sorting_3,2142,hand-sorting
RMQS_2024_LESCAR_2142_hand-sorting_4,2142,hand-sorting
RMQS_2024_LESCAR_2142_hand-sorting_5,2142,hand-sorting
RMQS_2024_LESCAR_2142_hand-sorting_6,2142,hand-sorting
RMQS_2024_LES-COMBES_1064_hand-sorting_1,1064,hand-sorting
RMQS_2024_LES-COMBES_1064_hand-sorting_2,1064,hand-sorting
RMQS_2024_LES-COMBES_1064_hand-sorting_3,1064,hand-sorting
RMQS_2024_LES-COMBES_1064_hand-sorting_4,1064,hand-sorting
RMQS_2024_LES-COMBES_1064_hand-sorting_5,1064,hand-sorting
